chunk_id,chunk_text
1,"Chapter 10. Large language model integration with Db2
In Db2, you can now register external watsonx.ai models directly within the database, enabling seamless integration of AI capabilities into your data workflows. To manage these external models, Db2 introduces new DDL statements to register models, remove them, and control usage privileges. By using the built-in TO _ EMBEDDING function, you can generate vector embeddings from text data, making it easier to do advanced analytics, such as semantic search or similarity comparisons. Furthermore, by using the built-in TEXT _ GENERATION function, you can generate text from a given prompt using a registered text generation model. Additionally, metadata can be tracked through the catalog views SYSCAT.EXTERNALMODELS, SYSCAT.EXTERNALMODELOPTIONS, and SYSCAT.EXTERNALMODELAUTH."
2,"Background and proposed solution
Db2 12.1.2 introduced support for a native VECTOR data type and a set of associated built-in functions. Db2 VECTOR data support enables customers to store and operate on VECTOR representations of their data directly within the database. However, before customers can leverage these new capabilities, they face a critical challenge: generating vector embeddings from their raw input data. Currently, customers must develop custom workflows or pipelines for vector generation, often relying on external APIs provided by cloud AI platforms. Some customers might also choose to use locally deployed language models through serving options. This fragmented and manual process introduces complexity, increases development time, and creates a barrier to adopting the new vector functionality in Db2."
3,"Background and proposed solution
The features included in this EAP release aim to address this gap by simplifying the integration of external language models with Db2. By allowing customers to register externally provisioned language models within Db2, they can invoke these models seamlessly through standard SQL queries. Raw input data can be sent to an external language model, and the resulting embeddings or generated text output can be retrieved, stored, and processed directly within Db2. This integration streamlines customer workflows, making it easier to incorporate external language model capabilities into language-driven applications, semantic search use cases, and other AI-powered solutions built on Db2.
This Early Access Program (EAP) release focuses on embedding generation and text generation . Included in this scope:
- Registering external embedding models.
- Dropping external models.
- Altering external models.
- Controlling access through GRANT and REVOKE statements.
- Generating embeddings using the TO _ EMBEDDING function.
- Generating text using the TEXT _ GENERATION function
- SYSCAT.EXTERNALMODELS, SYSCAT.EXTERNALMODELOPTIONS, and SYSCAT.EXTERNALMODELAUTH catalog views."
4,"CREATE EXTERNAL MODEL statement
The CREATE EXTERNAL MODEL statement registers an external AI model in Db2.
The model definition includes credentials and metadata for an external model, such as Watsonx.ai or OpenAI. By including this information in the definition, the model can be referenced by a logical name in builtin functions, such as TO _ EMBEDDING or TEXT _ GENERATION."
5,"model-name
Specifies the external model.
The name, including an implicit or explicit qualifier, must not identify an external model that already exists at the current server (SQLSTATE 42710). If a qualifier is not specified, the current schema is implicitly assigned. If the name is explicitly qualified with a schema name, the schema name must not begin with the characters ""SYS"" (SQLSTATE 42939)."
6,"PROVIDER
Specifies the provider of the language model being used.
Db2 supports integration with various API providers for invoking language models by using REST APIs. Each supported API provider includes a REST API endpoint tailored to the specific model types it supports.
- WATSONX: When using the WATSONX provider, Db2 leverages the REST API specifications provided by watsonx.ai for model invocation.
- OPENAI: This provider option is for language models hosted in a private cloud environment. The OPENAI provider supports only REST APIs that are compatible with the OpenAI API specification."
7,"ID string-constant
Uniquely specifies the target model within the context of a given provider. Different providers may use the same model ID to refer to similar or identical models, but the ID must be unique within each provider's model catalog. Db2 uses the ID to locate and interact with the correct remote model during API calls. The value must match the identifier published in the provider's documentation or model registry. If the model ID does not correspond to the expected value, integration and invocation fails.
The string-constant value must not be an empty string, and must not exceed 256 bytes in length (SQLSTATE 42615)."
8,"URL string-constant
Specifies the HTTPS endpoint of the watsonx embedding API.
This endpoint must be a valid and accessible HTTPS URL that points to the embedding service interface of the model. Db2 uses this URL to issue API requests for model invocation. If watsonx supplies only a base URL and expects the client to construct the full endpoint dynamically, Db2 assembles the complete URL according to the documented conventions of the watsonx API. The final URL must conform to the watsonx expected request structure and support the required authentication mechanisms.
The string-constant value must not exceed 512 bytes in length (SQLSTATE 42622).
Specifies the HTTPS endpoint of the external model provided by the model provider.
This endpoint must be a valid and accessible HTTPS URL that points to the model's inference or service interface. Db2 uses this URL to issue API requests for model invocation. If the provider supplies only a base URL and expects the client to construct the full endpoint dynamically, Db2 will automatically assemble the complete URL according to the provider's documented conventions. The final URL must conform to the provider's expected request structure and support the required
authentication mechanisms."
9,"URL string-constant
The string-constant value value must not be an empty string, and must not exceed 256 bytes in length (SQLSTATE 42615)."
10,"PROJECT _ ID string-constant
Specifies the project identifier for API usage, billing, and access control.
This value must follow platform naming rules and be unique within the account.
The string-constant value must not exceed 256 bytes in length (SQLSTATE 42622)."
